timestamp,simple-path,time
2021-08-04 17:05:52.005,/master/welcome,6843
2021-08-04 17:05:52.489,/master/welcome,436
2021-08-04 17:05:54.901,/master/sign-in,2257
2021-08-04 17:05:56.217,/master/welcome,609
2021-08-04 17:06:06.656,/master/welcome,291
2021-08-04 17:06:07.383,/master/welcome,588
2021-08-04 17:06:08.239,/master/welcome,685
2021-08-04 17:06:08.614,/master/welcome,314
2021-08-04 17:06:09.865,/anonymous/user-account/create,1129
2021-08-04 17:06:12.851,/master/welcome,1794
2021-08-04 17:06:13.476,/master/welcome,482
2021-08-04 17:06:13.869,/master/welcome,365
2021-08-04 17:06:14.593,/anonymous/user-account/create,605
2021-08-04 17:06:16.364,/anonymous/user-account/create,589
2021-08-04 17:06:16.778,/master/welcome,337
2021-08-04 17:06:17.153,/master/welcome,343
2021-08-04 17:06:17.85,/anonymous/user-account/create,591
2021-08-04 17:06:19.665,/anonymous/user-account/create,588
2021-08-04 17:06:20.048,/master/welcome,306
2021-08-04 17:06:20.36,/master/welcome,283
2021-08-04 17:06:21.692,/anonymous/user-account/create,1223
2021-08-04 17:06:23.488,/anonymous/user-account/create,588
2021-08-04 17:06:23.893,/master/welcome,328
2021-08-04 17:06:24.184,/master/welcome,256
2021-08-04 17:06:24.882,/anonymous/user-account/create,587
2021-08-04 17:06:26.652,/anonymous/user-account/create,589
2021-08-04 17:06:27.009,/master/welcome,280
2021-08-04 17:06:27.352,/master/welcome,311
2021-08-04 17:06:28.053,/anonymous/user-account/create,591
2021-08-04 17:06:29.849,/anonymous/user-account/create,592
2021-08-04 17:06:30.187,/master/welcome,261
2021-08-04 17:06:30.467,/master/welcome,249
2021-08-04 17:06:31.185,/anonymous/user-account/create,608
2021-08-04 17:06:32.957,/anonymous/user-account/create,591
2021-08-04 17:06:33.332,/master/welcome,299
2021-08-04 17:06:33.662,/master/welcome,301
2021-08-04 17:06:34.372,/anonymous/user-account/create,587
2021-08-04 17:06:36.305,/anonymous/user-account/create,591
2021-08-04 17:06:36.633,/master/welcome,252
2021-08-04 17:06:36.897,/master/welcome,234
2021-08-04 17:06:37.597,/anonymous/user-account/create,592
2021-08-04 17:06:39.399,/anonymous/user-account/create,634
2021-08-04 17:06:39.727,/master/welcome,251
2021-08-04 17:06:40.036,/master/welcome,278
2021-08-04 17:06:40.736,/anonymous/user-account/create,591
2021-08-04 17:06:42.541,/anonymous/user-account/create,592
2021-08-04 17:06:42.939,/master/welcome,293
2021-08-04 17:06:43.233,/master/welcome,264
2021-08-04 17:06:43.936,/anonymous/user-account/create,594
2021-08-04 17:06:45.718,/anonymous/user-account/create,589
2021-08-04 17:06:46.102,/master/welcome,307
2021-08-04 17:06:46.438,/master/welcome,305
2021-08-04 17:06:47.146,/anonymous/user-account/create,584
2021-08-04 17:06:48.947,/anonymous/user-account/create,595
2021-08-04 17:06:49.406,/master/welcome,379
2021-08-04 17:06:49.655,/master/welcome,218
2021-08-04 17:06:50.347,/anonymous/user-account/create,584
2021-08-04 17:06:52.15,/anonymous/user-account/create,626
2021-08-04 17:06:52.509,/master/welcome,283
2021-08-04 17:06:52.777,/master/welcome,238
2021-08-04 17:06:53.477,/anonymous/user-account/create,591
2021-08-04 17:06:55.315,/anonymous/user-account/create,592
2021-08-04 17:06:55.735,/master/welcome,340
2021-08-04 17:06:55.994,/master/welcome,234
2021-08-04 17:06:56.725,/anonymous/user-account/create,621
2021-08-04 17:06:58.476,/anonymous/user-account/create,615
2021-08-04 17:06:58.875,/master/welcome,322
2021-08-04 17:06:59.168,/master/welcome,267
2021-08-04 17:06:59.879,/anonymous/user-account/create,601
2021-08-04 17:07:01.332,/anonymous/user-account/create,582
2021-08-04 17:07:01.721,/master/welcome,311
2021-08-04 17:07:01.997,/master/welcome,246
2021-08-04 17:07:02.707,/anonymous/user-account/create,586
2021-08-04 17:07:04.387,/anonymous/user-account/create,590
2021-08-04 17:07:04.744,/master/welcome,279
2021-08-04 17:07:05.053,/master/welcome,276
2021-08-04 17:07:05.76,/anonymous/user-account/create,586
2021-08-04 17:07:07.471,/anonymous/user-account/create,588
2021-08-04 17:07:07.812,/master/welcome,263
2021-08-04 17:07:08.091,/master/welcome,249
2021-08-04 17:07:08.794,/anonymous/user-account/create,597
2021-08-04 17:07:10.492,/anonymous/user-account/create,591
2021-08-04 17:07:10.82,/master/welcome,252
2021-08-04 17:07:11.112,/master/welcome,261
2021-08-04 17:07:11.809,/anonymous/user-account/create,589
2021-08-04 17:07:13.541,/anonymous/user-account/create,592
2021-08-04 17:07:13.92,/master/welcome,293
2021-08-04 17:07:14.247,/master/welcome,291
2021-08-04 17:07:14.937,/anonymous/user-account/create,583
2021-08-04 17:07:16.626,/anonymous/user-account/create,588
2021-08-04 17:07:16.983,/master/welcome,279
2021-08-04 17:07:17.26,/master/welcome,250
2021-08-04 17:07:17.964,/anonymous/user-account/create,595
2021-08-04 17:07:19.664,/anonymous/user-account/create,590
2021-08-04 17:07:20.033,/master/welcome,291
2021-08-04 17:07:20.327,/master/welcome,266
2021-08-04 17:07:21.026,/anonymous/user-account/create,591
2021-08-04 17:07:22.612,/anonymous/user-account/create,590
